mse,p_norm,l2_norm
0.0045341775,1.6105573,0.3957371
0.0045300485,1.6107551,0.39555687
0.0045327786,1.6109536,0.39567608
0.0045190714,1.6111511,0.39507735
0.0045105056,1.6113492,0.39470276
0.00451298,1.611543,0.39481097
0.00450531,1.6117359,0.39447534
0.00448804,1.6119287,0.39371857
0.0044908314,1.6121236,0.393841
0.004489,1.6123186,0.39376065
0.004472262,1.6125121,0.3930259
0.004471217,1.6127061,0.39297992
0.0044709,1.612903,0.392966
0.0044549634,1.6131015,0.39226502
0.0044529103,1.6132982,0.39217463
0.004455638,1.6134953,0.39229473
0.0044377176,1.613693,0.39150503
0.0044313357,1.6138899,0.39122337
0.004435389,1.6140872,0.39140227
0.004421805,1.6142846,0.39080247
0.004409426,1.6144805,0.39025503
0.004415674,1.6146754,0.39053145
0.004410363,1.6148698,0.3902965
0.004391659,1.6150637,0.38946804
0.0043943613,1.6152571,0.38958782
0.004392613,1.6154494,0.3895103
0.004375209,1.6156396,0.38873792
0.004373164,1.6158292,0.38864708
0.0043758354,1.61602,0.38876575
0.0043639,1.616211,0.38823518
0.0043545514,1.6164017,0.3878191
0.0043555344,1.6165913,0.38786292
0.004344093,1.6167809,0.38735315
0.004335833,1.6169705,0.3869847
0.0043364675,1.6171597,0.387013
0.0043312972,1.6173481,0.38678223
0.004320552,1.6175373,0.38630217
0.0043162913,1.6177273,0.38611162
0.0043139122,1.6179163,0.38600522
0.004303552,1.6181056,0.38554144
0.0042958716,1.6182947,0.38519722
0.0042986814,1.6184821,0.38532314
0.0042912154,1.6186686,0.3849884
0.004281083,1.6188536,0.3845336
0.0042797164,1.6190406,0.38447225
0.0042706924,1.6192274,0.3840667
0.004260284,1.619414,0.38359842
0.0042595547,1.6195989,0.3835656
0.0042527397,1.6197842,0.38325858
0.004246362,1.6199695,0.3829711
0.00424341,1.6201563,0.38283795
0.004236385,1.6203426,0.38252097
0.004226607,1.620528,0.3820792
0.004226361,1.6207137,0.38206813
0.0042191665,1.6208997,0.3817428
0.0042102006,1.6210855,0.38133696
0.0042088167,1.6212714,0.38127428
0.0042027184,1.6214577,0.38099796
0.0041929428,1.6216445,0.38055462
0.004188858,1.6218325,0.38036916
0.004184106,1.6220211,0.3801534
0.0041765906,1.6222099,0.37981182
0.004177013,1.6223997,0.37983102
0.004166707,1.6225895,0.3793621
0.0041609984,1.622779,0.3791022
0.0041567897,1.62297,0.3789104
0.0041464833,1.6231605,0.37844038
0.0041409153,1.6233501,0.37818623
0.004144886,1.6235397,0.3783675
0.0041293586,1.6237284,0.3776581
0.004127382,1.6239156,0.3775677
0.004128673,1.6241033,0.37762675
0.004112363,1.6242921,0.3768801
0.004108181,1.6244797,0.37668848
0.004111362,1.6246662,0.37683424
0.004096423,1.6248521,0.376149
0.004092062,1.6250392,0.37594873
0.0040949825,1.6252255,0.37608284
0.0040776376,1.6254119,0.3752855
0.0040763794,1.6255974,0.37522766
0.0040798574,1.6257834,0.37538767
0.0040604076,1.625971,0.3744918
0.00406129,1.6261582,0.3745325
0.004063262,1.6263456,0.37462345
0.00404231,1.6265334,0.3736563
0.004047847,1.6267204,0.37391216
0.0040418277,1.626907,0.373634
0.0040287566,1.6270925,0.37302938
0.0040304502,1.6272784,0.37310776
0.0040235105,1.6274635,0.37278643
0.0040148897,1.6276479,0.37238684
0.0040159137,1.627832,0.37243432
0.004011074,1.6280171,0.37220985
0.0039969725,1.6282018,0.37155497
0.0039990814,1.6283869,0.371653
0.0039948504,1.6285709,0.37145633
0.003978587,1.6287546,0.37069947
0.00398428,1.6289383,0.3709646
0.0039796703,1.6291225,0.37074992
0.0039639636,1.6293076,0.37001756
0.003969676,1.6294932,0.37028405
0.0039612236,1.629678,0.36988965
0.0039471504,1.6298615,0.369232
0.003951597,1.6300452,0.36943993
0.003944286,1.6302291,0.369098
0.0039334316,1.6304127,0.36858982
0.0039369524,1.6305966,0.3687547
0.0039270683,1.63078,0.36829156
0.0039178124,1.6309634,0.36785725
0.003916805,1.6311469,0.36780995
0.003909008,1.6313305,0.3674437
0.00390336,1.6315125,0.36717814
0.0039053513,1.6316948,0.36727178
0.0038955442,1.631878,0.36681035
0.00388716,1.6320614,0.3664154
0.0038881085,1.6322455,0.36646014
0.0038780116,1.6324306,0.365984
0.0038716767,1.6326156,0.36568493
0.0038724046,1.6328014,0.3657193
0.0038625207,1.6329861,0.3652523
0.0038568417,1.6331706,0.36498368
0.0038573868,1.6333544,0.36500943
0.003845119,1.6335382,0.36442855
0.0038454807,1.6337223,0.3644457
0.0038391792,1.6339064,0.36414698
0.0038310885,1.6340892,0.36376306
0.0038289754,1.6342725,0.36366275
0.003823145,1.6344557,0.36338574
0.0038161678,1.6346389,0.363054
0.0038127366,1.6348214,0.36289078
0.0038073217,1.6350046,0.362633
0.0038015002,1.635188,0.36235562
0.0037981009,1.6353714,0.36219358
0.0037933858,1.6355556,0.36196873
0.0037854703,1.6357398,0.36159086
0.003783016,1.6359242,0.36147362
0.0037787477,1.6361085,0.36126962
0.0037726902,1.6362921,0.3609799
0.0037675784,1.6364753,0.3607353
0.0037620224,1.6366581,0.36046922
0.0037513687,1.6368408,0.35995844
0.0037513038,1.6370234,0.35995537
0.0037453729,1.6372066,0.3596707
0.0037444406,1.6373898,0.35962594
0.0037390857,1.6375728,0.35936868
0.003733361,1.6377555,0.35909346
0.0037253867,1.6379386,0.35870978
0.0037187277,1.6381217,0.35838902
0.0037161892,1.6383051,0.3582667
0.003711017,1.6384887,0.35801724
0.0037077279,1.6386716,0.35785857
0.0037011784,1.6388543,0.3575424
0.0036962514,1.6390368,0.3573043
0.003689251,1.6392189,0.35696578
0.0036863545,1.6394012,0.35682565
0.003682212,1.6395843,0.3566251
0.0036792287,1.639767,0.3564806
0.003671517,1.6399498,0.35610682
0.0036655108,1.6401321,0.35581544
0.0036642582,1.640314,0.3557546
0.0036520895,1.6404961,0.3551634
0.0036558325,1.640678,0.35534537
0.0036468348,1.6408609,0.3549078
0.003639687,1.6410437,0.35455984
0.003641629,1.6412264,0.3546544
0.0036295014,1.6414088,0.3540634
0.0036284525,1.6415906,0.35401222
0.0036254686,1.6417724,0.3538666
0.003611511,1.6419538,0.3531848
0.0036193023,1.6421353,0.35356554
0.0036079853,1.6423166,0.35301235
0.003602259,1.642498,0.3527321
0.0036069753,1.6426796,0.35296297
0.0035900467,1.6428616,0.35213366
0.003588821,1.643044,0.35207358
0.003592168,1.6432267,0.35223767
0.003571374,1.6434096,0.35121673
0.0035830012,1.6435921,0.35178798
0.0035703336,1.6437742,0.35116556
0.0035588534,1.6439558,0.35060054
0.003567017,1.6441377,0.35100242
0.0035509588,1.6443205,0.35021144
0.0035518266,1.6445037,0.35025424
0.0035552015,1.6446872,0.3504206
0.003534745,1.6448704,0.34941098
0.0035439373,1.645054,0.34986502
0.003531135,1.6452377,0.34923252
0.0035209726,1.6454209,0.3487296
0.0035358863,1.645604,0.3494674
0.003510244,1.6457877,0.3481979
0.0035197695,1.6459712,0.34867004
0.0035110763,1.6461544,0.3482392
0.003496457,1.6463381,0.34751344
0.0035078758,1.6465213,0.3480805
0.0034930415,1.6467043,0.34734368
0.0034888275,1.6468868,0.34713408
0.0034894943,1.6470693,0.34716728
0.0034750584,1.6472517,0.3464484
0.0034769217,1.6474345,0.34654126
0.0034699247,1.6476172,0.3461924
0.0034659228,1.6477998,0.3459927
0.0034663903,1.6479821,0.34601608
0.0034554563,1.6481643,0.34546992
0.0034530414,1.6483464,0.34534916
0.0034493937,1.6485286,0.3451667
0.0034382108,1.6487107,0.34460673
0.0034457922,1.6488932,0.34498647
0.0034305989,1.6490762,0.34422505
0.0034311477,1.6492591,0.34425262
0.0034264552,1.6494424,0.3440171
0.0034164938,1.6496254,0.34351665
0.0034192193,1.6498077,0.34365365
0.0034107526,1.64999,0.34322792
0.0034083156,1.6501725,0.3431053
0.0034031463,1.650355,0.342845
0.00339548,1.650538,0.34245864
0.003393596,1.6507207,0.3423636
0.0033883194,1.6509043,0.3420973
0.003382361,1.651087,0.3417964
0.0033828446,1.6512692,0.34182087
0.003372354,1.651451,0.3412904
0.0033689076,1.651633,0.34111598
0.0033662214,1.6518153,0.34097993
0.0033577061,1.6519982,0.3405484
0.0033611974,1.6521807,0.3407254
0.0033499987,1.6523632,0.34015733
0.003350594,1.652546,0.34018752
0.003339769,1.6527292,0.3396376
0.0033396657,1.6529118,0.33963233
0.0033318752,1.6530945,0.33923596
0.003330759,1.6532769,0.33917913
0.003323725,1.6534588,0.3388208
0.0033208376,1.6536406,0.3386736
0.0033132262,1.6538224,0.33828524
0.0033121032,1.6540041,0.33822796
0.0033085817,1.6541861,0.33804804
0.0033032203,1.6543688,0.33777404
0.0032997057,1.6545511,0.3375943
0.003290112,1.6547339,0.33710316
0.003286805,1.654916,0.3369337
0.0032841929,1.6550983,0.3367998
0.0032811952,1.6552808,0.33664608
0.0032812099,1.6554629,0.33664683
0.0032685115,1.6556443,0.33599478
0.0032682244,1.6558255,0.33598003
0.0032596071,1.6560063,0.3355368
0.0032570867,1.6561867,0.33540705
0.0032615964,1.6563672,0.33563915
0.0032458392,1.6565478,0.33482742
0.0032500902,1.6567291,0.33504662
0.0032358728,1.6569103,0.33431298
0.003236407,1.6570913,0.33434057
0.003233449,1.6572723,0.33418775
0.0032278406,1.657453,0.33389777
0.0032257265,1.6576339,0.33378845
0.0032154385,1.6578151,0.3332557
0.0032119818,1.6579962,0.33307654
0.0032113574,1.6581769,0.33304417
0.0032011273,1.6583576,0.3325133
0.0032106533,1.6585383,0.33300766
0.0031911489,1.6587194,0.3319946
0.003196834,1.6589001,0.33229023
